Index,Id,PublishedOn,OldTitle,NewTitle,NewDescription
1,725d2aae0d7d,1994-01-01,"1994: Teaching Technology at SDSU",,
2,df2b1038e64b,2001-01-01,"2001: Learning Business Through Underwriting",,
3,bfa0b31b5538,2002-09-01,"2002: Coordinating Data Systems at DIS",,
4,194251ee174a,2007-01-01,"2007: Founding MythosLife as a Web Blog",,
5,d851f36edf3c,2007-01-12,"What the Pocket Demanded",,
6,5b68e93458e3,2007-01-08,"Who Opens the Garden",,
7,bf71a2e69234,2007-01-22,"Fragments and Bridges",,
8,2aadb48215d3,2007-02-05,"The Server Left the Room",,
9,dd59afa72994,2007-02-14,"Native or Web",,
10,ddd25e963f0b,2007-02-19,"The Page That Wasn't",,
11,62e351b64e1b,2007-03-03,"Who Holds the State",,
12,cff17372dd58,2007-03-09,"The Weight of a Page",,
13,ed105a74eefb,2007-03-17,"The Component Question",,
14,a5a3dd2bef23,2014-10-01,"2014: Growing MythosLife Into Web Development",,
15,801400ca93bb,2016-02-01,"2016: Building Web Applications at DIS",,
16,c7100acbd0f7,2016-04-01,"2016: Supporting Web and Technology at Saffron & Sage",,
17,6bd805e630a9,2017-05-01,"2017: Experimenting With Local SEO Through MythosNetwork",,
18,a8bc173e11c1,2018-07-01,"2018: Leading Full Stack Web Development at Ranta",,
19,dbb5ba45d01e,2023-09-01,"2023: Building Public Sector Software Solutions",,
20,6227179bd847,2007-04-07,"The Language That Escaped the Browser",,
21,99f6940e2517,2007-04-16,"The API That Opened Everything",,
22,aaf2e9cdc4c2,2007-04-24,"The Build Tool That Grew Into a Platform",,
23,8a8732ab1435,2007-05-02,"The Real-Time Web",,
24,771f94714243,2007-05-11,"The Style That Caught Up",,
25,4a5a6f6664a7,2007-05-25,"The Offline Web That Waited",,
26,3139d2a50edf,2007-06-08,"The Security That Grew Up",,
27,7d17af5050d9,2007-06-14,"The Framework That Came and Went",,
28,9ab3eb291802,2007-06-21,"The Accessibility That Waited",,
29,1223029b52b5,2007-07-06,"The Design That Adapted to Every Screen",,
30,db79665138af,2007-07-18,"The Storage That Expanded Beyond Limits",,
31,10798b8939fb,2007-07-23,"The Collaboration That Never Stopped",,
32,65e5e7b90c96,2007-08-03,"The Package That Became an Ecosystem",,
33,c01b4818e170,2007-08-11,"The Server That Became a Function",,
34,9806310044f4,2007-08-22,"The Type That Saved Us From Ourselves",,
35,2e9b29859456,2007-09-15,"The Privacy That Mattered Late",,
36,d3a366d7b40f,2007-09-27,"The Browser That Became a Platform",,
37,3bb29c1f309b,2007-09-30,"The Plugin That Opened the Browser to Everything",,
38,ca23dbe0ca04,2007-10-04,"The AI That Started as a Suggestion",,
39,b16a0099d711,2007-10-12,"The Decoupled Page",,
40,8bf36a6a33af,2007-10-20,"The Network That Reached Everywhere",,
41,1e2f7a119196,2007-11-05,"The Standards That United the Browsers",,
42,58de6335066c,2007-11-16,"The Content That Managed Itself",,
43,ebd9d6c9ef28,2007-11-25,"The Build That Vanished Into Templates",,
44,b6ffa0aa5af8,2007-12-09,"The Future That Arrived Early",,
45,e928d3240af9,2007-12-14,"The Format That Shrunk Everything",,
46,b23f4a53634d,2007-12-28,"The Question That Remains Open",,
47,63c2193a7897,2008-04-15,"The Standard That Almost Was",,
48,4b04cdcc746a,2008-07-18,"The Split Between Mobile Web and Native",,
49,cc7b8878d088,2008-07-10,"The Store That Changed Distribution",,
50,c3b9903f3177,2008-09-02,"The Browser That Rewrote the Rules",,
51,a7eb140fa525,2008-09-28,"The Language That Kept Growing",,
52,3b7c8ad33944,2008-06-17,"The Browser That Set the Bar Higher",,
53,ad90507cd815,2008-07-14,"The Video That Needed No Plugin",,
54,b66fd10641c6,2008-10-22,"The Alternative Operating System",,
55,387619d52017,2008-11-08,"The Tools That Made Us Faster",,
56,e14e2d34a0ed,2008-11-25,"The Typography Revolution That Waited",,
57,4f034dbde178,2008-05-12,"The Layouts That Still Required Workarounds",,
58,c237ae49dc95,2008-12-05,"The Applications That Outgrew the Page",,
59,8cbca858e503,2008-05-20,"The Data That Shaped the Web",,
60,f70e8723dbf3,2008-11-07,"The Competition That Made Everyone Faster",,
61,9de3956a25bc,2009-06-30,"The HTML5 Promise Begins to Take Shape",,
62,d77a27f95706,2009-01-14,"The Library That Made JavaScript Bearable",,
63,4746fe2233a4,2009-03-22,"The Race to Build the Best Mobile Browser",,
64,b83d1b8e5971,2009-06-17,"The First Pieces of a New CSS",,
65,361b75477a79,2009-05-27,"JavaScript on the Server",,
66,153e47c33043,2009-07-08,"The Slow March Toward Web Typography",,
67,2c52224d1861,2009-03-19,"The Browser That Would Not Go Away",,
68,973b61652bad,2009-07-25,"Games in the Browser Without Plugins",,
69,16edd67b2932,2009-05-28,"The Wave That Crashed",,
70,74c84c94ad58,2009-04-12,"The Idea That Would Change Layout Forever",,
71,38b4f3cb0d9b,2009-08-05,"Local Storage Becomes Real",,
72,9936b0b2c636,2009-09-20,"Testing Across Browsers Becomes More Systematic",,
73,cb5babd3598c,2009-09-11,"The First Hints of Motion on the Web",,
74,d7e18d60b9cc,2009-10-15,"The Rise of the API Economy",,
75,e78219593de1,2009-09-30,"The Push for Real-Time Communication",,
76,2edcfb1780ae,2009-08-18,"Thinking About Mobile First",,
77,7bc82242e427,2009-11-24,"The Browser Become a Platform for Extensions",,
78,8a516674c549,2009-12-31,"2009: The Year the Web Platform Coalesced",,
79,d678ebaf187e,2010-01-27,"The iPad Changes Everything for the Web",,
80,28a74f8a596e,2010-05-25,"The Term That Defined a New Approach",,
81,230f64f4b5a1,2010-12-07,"The Store That Came to the Browser",,
82,4ab208017c32,2010-06-14,"CSS3 Becomes Real for Designers",,
83,57c51df70b34,2010-07-19,"HTML5 Gaming Takes Its First Steps",,
84,a7e7e5018189,2010-08-11,"The Growing Divide Between Web and Native",,
85,463d23438dfa,2010-07-22,"Animation Becomes a Native Capability",,
86,6e8078325467,2010-06-16,"The Year Performance Became an Obsession",,
87,8c2f13b444e5,2010-03-30,"The First Glimpses of 3D in the Browser",,
88,dfe4f1fafeaa,2010-10-08,"The First Frameworks for Mobile Web",,
89,1bee8d39eeed,2010-04-12,"Forms Get Smarter with HTML5",,
90,b78711764ee7,2010-08-20,"The Single Page Application Idea Gains Ground",,
91,45aa33d739fe,2010-09-18,"Typography Finally Gets Practical",,
92,e344c79e6936,2010-09-15,"The Promise of a Better Internet Explorer",,
93,a0fb4e5cf40b,2010-10-24,"The Challenge of Too Many Screens",,
94,52c798d0ea19,2010-11-05,"Storing Data for When the Network Fails",,
95,7d8c3440a440,2010-12-28,"The Standards Momentum of 2010",,
96,97945db4079e,2010-12-31,"Looking Forward from 2010",,
97,e7c1f545461f,2011-01-05,"Internet Explorer 9 Finally Joins the Modern Web",,
98,c4a8c69b0ad3,2011-01-16,"Responsive Design Enters the Mainstream",,
99,8350c347b8d7,2011-01-27,"CSS3 Goes to Production",,
100,3ce328ae7764,2011-02-05,"jQuery 1.7 Improves Event Handling",,
101,b89c0e2055de,2011-02-16,"Mobile Web Traffic Explodes",,
102,da9377126d01,2011-02-27,"HTML5 Video Becomes a Standard",,
103,d83713116237,2011-03-05,"Chrome Overtakes Firefox in Usage",,
104,52ea148e6eb1,2011-03-16,"Web Typography Becomes Practical",,
105,589e4e969ea1,2011-03-27,"Mobile-First Thinking Gains Ground",,
106,7ddeaf49b593,2011-04-05,"Bootstrap 1.0 Standardizes Front-End Development",,
107,2fe65ec38742,2011-04-16,"HTML5 Forms Reduce JavaScript Dependency",,
108,640bfc5d5998,2011-04-27,"CSS Animations Become Reliable",,
109,8d46d4fe179d,2011-05-05,"Internet Explorer 9 Supports HTML5",,
110,474b6fb59615,2011-05-16,"Responsive Grid Systems Proliferate",,
111,177a203e0765,2011-05-27,"The JavaScript Performance Wars Continue",,
112,2e173cd8f045,2011-06-05,"CSS3 Gradients Eliminate Images",,
113,a519553fb6cf,2011-06-16,"The Web vs. Native Debate Intensifies",,
114,8afae5a93d9e,2011-06-27,"Local Storage Gives Web Apps Persistence",,
115,38f45d8ddd4a,2011-07-05,"HTML5 Semantic Elements Bring Meaning",,
116,0df64c97e6da,2011-07-16,"CSS3 Selectors Give Developers Precision",,
117,cbef9f350285,2011-07-27,"Browser Developer Tools Become Essential",,
118,0a2c33e67413,2011-08-05,"The Challenge of Responsive Images",,
119,951a34e86a6c,2011-08-16,"CSS3 Multi-Column Layout Goes Live",,
120,15c333fb08e9,2011-08-27,"MVC Frameworks Come to the Browser",,
121,36ac095f8c85,2011-09-05,"IE9 Impacts Developer Decisions",,
122,8da6d141d04f,2011-09-16,"CSS Preprocessors Change How We Write Styles",,
123,f8f3334ed205,2011-09-27,"Mobile Testing Becomes a Discipline",,
124,6abd4aac5193,2011-10-05,"WebSockets Bring Real-Time to the Browser",,
125,bf76ec4a8cd2,2011-10-16,"Touch Events Change Interaction Design",,
126,aabdd7fb19b1,2011-10-27,"App Cache Lets Web Apps Work Offline",,
127,efeaedc0ebbb,2011-11-05,"Automatic Browser Updates Reduce Fragmentation",,
128,4c4f28b72977,2011-11-16,"CSS Frameworks Proliferate",,
129,0cbb2794a0ab,2011-11-27,"The Idea of Performance Budgets Emerges",,
130,9d28c0dade69,2011-12-05,"2011: The Year the Web Platform Converged",,
131,822e61c876b2,2011-12-16,"Looking Ahead to 2012",,
132,933f70a515d4,2011-12-27,"The State of the Web in 2011",,
133,93b6d8c34af1,2025-01-08,"The Performance Budget That Let Us Down",,
134,ab0bcb757965,2025-01-17,"What Engine Taught Us",,
135,eb65b5a44277,2025-01-26,"When Performance Budget Kept Growing",,
136,006c00fdd21e,2025-02-08,"What Script reminds?",,
137,9d86be5bd78a,2025-02-17,"What Protocol survives?",,
138,97a33fc55dc8,2025-02-26,"Inside the Design System",,
139,cc3e146ff2e5,2025-03-08,"What Library challenges?",,
140,1e3389f17200,2025-03-17,"The Conference Talk Nobody Expected",,
141,38e47d029df8,2025-03-26,"The Elegant Connection",,
142,5a03b96ce462,2025-04-08,"The Contested Open Source Project",,
143,d1959abd0893,2025-04-17,"When Transition Broke New Ground",,
144,4ad286ec8f74,2025-04-26,"Learning from the Interface",,
145,3ecfb675b7f8,2025-05-08,"Why Framework Connects",,
146,69ae749d0607,2025-05-17,"What Endpoint evolves?",,
147,4ce892f8c0f4,2025-05-26,"Beyond the Script",,
148,ac427757a45d,2025-06-08,"The Protocol That Refused to separates",,
149,558d511c532b,2025-06-17,"The Mobile Site That Built Bridges",,
150,49e7fbe9b9da,2025-06-26,"Why API Survives",,
151,9057c3dc272b,2025-07-08,"The Developer Tool Nobody Expected",,
152,bfd6116d871a,2025-07-17,"The Browser Extension That Refused to endures",,
153,9f941760ff06,2025-07-26,"When Browser Extension Opened Doors",,
154,1b9d1ab2fc43,2025-08-08,"What API endures?",,
155,6999117fa144,2025-08-17,"The Protocol Nobody Expected",,
156,190d14d5def2,2025-08-26,"The Quiet Stylesheet",,
157,41caeb66767a,2025-09-08,"The Repository That Drew Lines",,
158,03e5556d0b58,2025-09-17,"The Engine That Refused to challenges",,
159,04acd0167d35,2025-09-26,"The Specification That Refused to challenges",,
160,46e841bc65ea,2025-10-08,"When Module Set the Standard",,
161,71749100ecc5,2025-10-17,"The Grid That Refused to serves",,
162,632f811e7714,2025-10-26,"What Script connects?",,
163,a0ab12bc4214,2025-11-08,"What Developer Tool Taught Us",,
164,0a1d23d0ea06,2025-11-17,"Why Fallback Persists",,
165,28098b525242,2025-11-26,"How Performance Budget Stayed Quiet",,
166,efc4e110a802,2025-12-08,"What Browser challenges?",,
167,4d826c7afc99,2025-12-17,"The Fallback That Broke New Ground",,
168,26e20cf85ac7,2025-12-26,"The Contested Specification",,
169,80e88aae687f,2026-01-09,"The Browser That Found Its Place",,
170,9eecd36b7838,2026-01-18,"The Specification That Refused to resists",,
171,ee16a78e7324,2026-01-27,"Inside the Fallback",,
172,f1a3ce69ba73,2026-02-09,"The Repository That Came Together",,
173,99f74fc96f57,2026-02-18,"Why Engine Persists",,
174,47b5aca85c48,2026-02-27,"The Forgotten Transition",,
175,fcbfaba2808b,2026-03-09,"The Overlooked Protocol",,
176,00ad0f3b4915,2026-03-18,"What Polyfill adapts?",,
177,f7452470b834,2026-03-27,"The Elegant API",,
178,f26d6bddd47c,2026-04-09,"The Compiler That Broke New Ground",,
179,c784fa7bf6f4,2026-04-18,"The Conference Talk That Refused to endures",,
180,52f0dfbd770c,2026-04-27,"When Codebase Changed Everything",,
181,bf1d3c13bc14,2026-05-09,"The Open Source Project That Built Bridges",,
182,c88a375b922f,2026-05-18,"When Repository Opened Doors",,
183,1fc459046cd0,2026-05-27,"How Browser Stayed Quiet",,
184,ae67955b6aa3,2026-06-09,"The Canvas We Almost Had",,
185,66c22cb59fdd,2026-06-18,"How Pipeline Kept Growing",,
186,94002cdfef30,2008-01-12,"Who Converged Developer Tools?",,
187,19d78b80a43e,2008-01-21,"Real-Time Communication at a Crossroads: Developer Experience or The Community Divided",,
188,64816dac68d8,2008-01-28,"CSS Media Queries Evolved. Then Standards Followed",,
189,86add69a9a09,2008-02-12,"Static Site Builders Never Diversified the Browser Platform. Here Is Why",,
190,9d273ebb6355,2008-02-21,"The Ongoing Web Standards Bodies That Found Its Footing Team Productivity",,
191,e7c497efdcf9,2008-02-28,"How Content Security Policy Stagnated Front-End Work",,
192,a1c1d8c27c53,2008-03-12,"The Fetch API at a Crossroads: Developer Experience or Old Assumptions Broke",,
193,9d0b77119a53,2008-03-21,"Went Mainstream by Form Validation: Old Assumptions Broke",,
194,023cc1da258c,2008-03-28,"Web Application Architecture at a Crossroads: the Browser Platform or New Patterns Emerged",,
195,b5b093bc4745,2008-04-12,"Web Components Won the Argument. Then Lessons Were Learned",,
196,2307d65558f3,2008-04-21,"CSS Specifications Went Mainstream. Then Vendors Reacted",,
197,b027c2b7ac6a,2008-04-28,"Version Control Workflows Still Divides After All These Years",,
198,865e54ccbd48,2008-05-13,"The Console and Debugger Divides, but at What Cost?",,
199,2e723572c0eb,2008-05-21,"What Web Typography Changed Direction About Code Quality",,
200,eb21a68f8c91,2008-05-28,"Browser Vendors at a Crossroads: Team Productivity or Innovation Accelerated",,
201,937a81936dd6,2008-06-12,"Web Standards Bodies Became More Complex the Web. Here Is What Happened",,
202,db15f638a59b,2008-06-21,"Web Components Narrowed the Web. Here Is What Happened",,
203,44af34b52dbf,2008-06-28,"CSS Custom Properties at a Crossroads: the Browser Platform or The Industry Changed",,
204,f8b9478f6d4a,2008-07-12,"Static Site Generation Stagnated and Standards Followed",,
205,6bf545fabac3,2008-07-21,"When The npm Ecosystem Broke New Ground, The Industry Responded",,
206,2fc36ac40418,2008-07-28,"Service Workers and the New Patterns Emerged",,
